"value","code","question"
1,"Registered Voters","xdemAll"
1,"Age: 18-34","age"
2,"Age: 35-44","age"
3,"Age: 45-64","age"
4,"Age: 65+","age"
1,"GENPOP","AUD"
2,"Colorado","AUD"
3,"Georgia","AUD"
4,"Wisconsin","AUD"
1,"Selected","BPC1_1NET"
2,"Not Selected","BPC1_1NET"
1,"Selected","BPC1_2NET"
2,"Not Selected","BPC1_2NET"
1,"Selected","BPC1_3NET"
2,"Not Selected","BPC1_3NET"
1,"Selected","BPC1_4NET"
2,"Not Selected","BPC1_4NET"
1,"Selected","BPC1_5NET"
2,"Not Selected","BPC1_5NET"
1,"Selected","BPC1_6NET"
2,"Not Selected","BPC1_6NET"
1,"Selected","BPC1_7NET"
2,"Not Selected","BPC1_7NET"
1,"Selected","BPC1_8NET"
2,"Not Selected","BPC1_8NET"
1,"Selected","BPC1_9NET"
2,"Not Selected","BPC1_9NET"
1,"Selected","BPC1_10NET"
2,"Not Selected","BPC1_10NET"
1,"Selected","BPC1_11NET"
2,"Not Selected","BPC1_11NET"
1,"Selected","BPC1_12NET"
2,"Not Selected","BPC1_12NET"
1,"Selected","BPC1_13NET"
2,"Not Selected","BPC1_13NET"
1,"NO TEXT","BPC1_14_TEXT"
1,"Selected","BPC1_14NET"
2,"Not Selected","BPC1_14NET"
1,"Selected","BPC1_15NET"
2,"Not Selected","BPC1_15NET"
1,"Selected","BPC1_16NET"
2,"Not Selected","BPC1_16NET"
1,"NO TEXT","BPC2"
1,"Selected","BPC3_1NET"
2,"Not Selected","BPC3_1NET"
1,"Selected","BPC3_2NET"
2,"Not Selected","BPC3_2NET"
1,"Selected","BPC3_3NET"
2,"Not Selected","BPC3_3NET"
1,"Selected","BPC3_4NET"
2,"Not Selected","BPC3_4NET"
1,"Selected","BPC3_5NET"
2,"Not Selected","BPC3_5NET"
1,"Selected","BPC3_6NET"
2,"Not Selected","BPC3_6NET"
1,"Selected","BPC3_7NET"
2,"Not Selected","BPC3_7NET"
1,"Selected","BPC3_8NET"
2,"Not Selected","BPC3_8NET"
1,"Selected","BPC3_9NET"
2,"Not Selected","BPC3_9NET"
1,"Selected","BPC3_10NET"
2,"Not Selected","BPC3_10NET"
1,"Selected","BPC3_11NET"
2,"Not Selected","BPC3_11NET"
1,"Selected","BPC3_12NET"
2,"Not Selected","BPC3_12NET"
1,"Selected","BPC3_13NET"
2,"Not Selected","BPC3_13NET"
1,"NO TEXT","BPC3_14_TEXT"
1,"Selected","BPC3_14NET"
2,"Not Selected","BPC3_14NET"
1,"Selected","BPC3_15NET"
2,"Not Selected","BPC3_15NET"
1,"Selected","BPC3_16NET"
2,"Not Selected","BPC3_16NET"
1,"NO TEXT","BPC4"
1,"Selected","BPC5_1NET"
2,"Not Selected","BPC5_1NET"
1,"Selected","BPC5_2NET"
2,"Not Selected","BPC5_2NET"
1,"Selected","BPC5_3NET"
2,"Not Selected","BPC5_3NET"
1,"Selected","BPC5_4NET"
2,"Not Selected","BPC5_4NET"
1,"Selected","BPC5_5NET"
2,"Not Selected","BPC5_5NET"
1,"Selected","BPC5_6NET"
2,"Not Selected","BPC5_6NET"
1,"Selected","BPC5_7NET"
2,"Not Selected","BPC5_7NET"
1,"Selected","BPC5_8NET"
2,"Not Selected","BPC5_8NET"
1,"Selected","BPC5_9NET"
2,"Not Selected","BPC5_9NET"
1,"Selected","BPC5_10NET"
2,"Not Selected","BPC5_10NET"
1,"Selected","BPC5_11NET"
2,"Not Selected","BPC5_11NET"
1,"Selected","BPC5_12NET"
2,"Not Selected","BPC5_12NET"
1,"Selected","BPC5_13NET"
2,"Not Selected","BPC5_13NET"
1,"NO TEXT","BPC5_14_TEXT"
1,"Selected","BPC5_14NET"
2,"Not Selected","BPC5_14NET"
1,"Selected","BPC5_15NET"
2,"Not Selected","BPC5_15NET"
1,"Selected","BPC5_16NET"
2,"Not Selected","BPC5_16NET"
1,"\${e://Field/BPC6a\_cand1}","BPC6a"
2,"\${e://Field/BPC6a\_cand2}","BPC6a"
3,"Would look to neither for information about the winner of an election","BPC6a"
1,"Trump","BPC6a_cand1n"
2,"Biden","BPC6a_cand1n"
3,"Bannon","BPC6a_cand1n"
4,"Rogan","BPC6a_cand1n"
5,"StateChief","BPC6a_cand1n"
6,"LocalChief","BPC6a_cand1n"
7,"McDaniel","BPC6a_cand1n"
8,"Harrison","BPC6a_cand1n"
9,"Zuckerberg","BPC6a_cand1n"
10,"Cooper","BPC6a_cand1n"
11,"LocalTV","BPC6a_cand1n"
12,"NatTV","BPC6a_cand1n"
13,"Maddow","BPC6a_cand1n"
