"qid","qidFull"
"xdemAll","NO TEXT"
"age","What is your age?"
"AUD","NULL"
"BPC1_1NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ National television"
"BPC1_2NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Local or regional television"
"BPC1_3NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Radio"
"BPC1_4NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Print publications, such as newspapers or magazines"
"BPC1_5NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Print publications news websites"
"BPC1_6NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Television news website"
"BPC1_7NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Social media such as Facebook, Twitter, or Instagram"
"BPC1_8NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Search through Google or other search engines"
"BPC1_9NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Podcasts"
"BPC1_10NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Friends and family"
"BPC1_11NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Blogs or online forums"
"BPC1_12NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Your state election office"
"BPC1_13NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Your local election office"
"BPC1_14_TEXT","NO TEXT"
"BPC1_14NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Other, please specify"
"BPC1_15NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ I do not consume information about how to vote"
"BPC1_16NET","In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. \\ Don't know/ no opinion"
"BPC2","You indicated that you do not consume information on how to vote, why is that?"
"BPC3_1NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ National television"
"BPC3_2NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Local or regional television"
"BPC3_3NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Radio"
"BPC3_4NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Print publications, such as newspapers or magazines"
"BPC3_5NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Print publications news websites"
"BPC3_6NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Television news website"
"BPC3_7NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Social media such as Facebook, Twitter, or Instagram"
"BPC3_8NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Search through Google or other search engines"
"BPC3_9NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Podcasts"
"BPC3_10NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Friends and family"
"BPC3_11NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Blogs or online forums"
"BPC3_12NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Your state election office"
"BPC3_13NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Your local election office"
"BPC3_14_TEXT","NO TEXT"
"BPC3_14NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Other, please specify"
"BPC3_15NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ I am not interested in learning about how elections are run in the United States"
"BPC3_16NET","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. \\ Don't know/ no opinion"
"BPC4","You indicated that you are not interested in learning about how elections are run in the United States , why is that?"
"BPC5_1NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ National television"
"BPC5_2NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Local or regional television"
"BPC5_3NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Radio"
"BPC5_4NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Print publications, such as newspapers or magazines"
"BPC5_5NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Print publications news websites"
"BPC5_6NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Television news website"
"BPC5_7NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Social media such as Facebook, Twitter, or Instagram"
"BPC5_8NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Search through Google or other search engines"
"BPC5_9NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Podcasts"
"BPC5_10NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Friends and family"
"BPC5_11NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Blogs or online forums"
"BPC5_12NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Your state election office"
"BPC5_13NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Your local election office"
"BPC5_14_TEXT","NO TEXT"
"BPC5_14NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Other, please specify"
"BPC5_15NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ I do not consume information about election results"
"BPC5_16NET","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. \\ Don't know/ no opinion"
"BPC6a","When you hear about how votes are counted, who of the following would you be more likely to look to for information about the winner of an election?"
"BPC6a_cand1n","NULL"
"BPC6a_cand2n","NULL"
"BPC6b","When you hear about how votes are counted, who of the following would you be more likely to look to for information about the winner of an election?"
"BPC6b_cand1n","NULL"
"BPC6b_cand2n","NULL"
"BPC6c","When you hear about how votes are counted, who of the following would you be more likely to look to for information about the winner of an election?"
