,BPC9,BPC10,BPC11,BPC12,BPC13,BPC14,BPC15,BPC16,BPCdem1,BPCdem2,indpt_EO,xdemWhite,demBlackBin,xdemHispBin,demRaceOther,age_18-34,age_35-44,age_45-64,age_65+,xeduc3_nocollege,xeduc3_bach,xeduc3_postgrad,xpid3_D,xpid3_I,xpid3_R,xsubVote20O_Biden,xsubVote20O_Trump,xsubVote20O_Other,xsubVote20O_NoVote,xdemGender_M,xdemGender_F
0,1,1,1,1,1,1,1,1,1.0,,0,0.0,1.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
1,1,1,1,1,1,1,1,1,,,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
2,2,1,1,2,5,2,5,2,0.0,,0,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
3,3,3,3,3,3,3,3,3,0.0,,1,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
4,5,5,5,5,5,5,5,5,,,0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
5,5,5,5,5,5,5,5,5,,,1,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
6,3,3,2,4,3,3,2,4,0.0,,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
7,2,2,2,2,2,2,2,2,,1.0,0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
8,5,2,2,5,2,5,2,5,,0.0,1,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
9,5,5,5,5,3,5,5,5,,,0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
10,4,4,3,3,3,3,3,3,1.0,,0,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
11,5,5,5,5,5,5,5,5,,1.0,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
12,1,1,1,1,1,1,1,1,,,0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
13,4,4,4,4,4,4,4,4,1.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
14,2,2,2,2,2,2,2,2,,1.0,0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
15,2,3,5,5,4,4,3,2,,0.0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
16,2,2,2,2,2,2,2,2,0.0,,1,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
17,2,3,2,2,3,2,2,2,0.0,,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
18,1,1,1,1,1,1,1,1,,0.0,1,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
